,name,current_rating,peak_rating,current_streak,best_streak
1078,Marcio Alexandre Junior,1321.6759579190377,1372.2201952790333,-3,0
176,Marcio Cruz,1766.517868120714,1962.2702687400456,-2,2
1180,Marco Beltran,1475.5414490081737,1945.666461599295,-3,3
1305,Marco Polo Reyes,1391.2459394944187,1785.9776110235707,-3,3
2366,Marco Tulio,1815.965728882104,1815.965728882104,2,2
1697,Marcos Mariano,1266.4685316188877,1323.064231108774,-2,0
1072,Marcos Rogerio de Lima,1862.1434040448444,1866.8765175243411,1,2
803,Marcos Vinicius,1459.287260975194,1736.1119303476282,-2,1
337,Marcus Aurelio,1498.4775629783128,1596.6026116112575,-3,2
722,Marcus Brimage,1470.4540481360136,1835.52787113417,-2,3
189,Marcus Davis,1700.3017642403415,1986.7149345270639,-2,6
525,Marcus Jones,1360.3599892988498,1360.3599892988498,-1,0
775,Marcus LeVesseur,1277.7171111011407,1355.196528174472,-1,1
2190,Marcus McGhee,1970.1823245692433,1970.1823245692433,4,4
2025,Maria Oliveira,1139.7816974773993,1326.6020103964784,-2,1
1640,Marina Rodriguez,1754.1753029767713,1987.0297663386189,-3,4
1688,Mario Bautista,2068.1966559837283,2068.1966559837283,8,8
546,Mario Miranda,1517.8383379630375,1655.8146341668903,-2,1
263,Mario Neto,1360.3599892988498,1360.3599892988498,-1,0
2385,Mario Pinto,1686.2953843050032,1686.2953843050032,1,1
1216,Marion Reneau,1487.296589573897,1786.2875877467666,-5,3
1852,Mariya Agapova,1386.5459186590606,1656.3474671666336,-3,1
334,Mark Bocek,1740.3992380270158,1822.302762836133,1,3
2408,Mark Choinski,1358.4261991787182,1358.4261991787182,-1,0
452,Mark Coleman,1571.2965794479005,1628.9259205744331,-1,1
1563,Mark De La Rosa,1239.7278472393687,1500.1399516041893,-4,2
1028,Mark Eddiva,1408.947128330729,1736.1119303476282,-3,1
1423,Mark Godbeer,1490.474547536003,1611.8305374059714,-1,2
559,Mark Holst,1142.0588480800911,1217.419551385634,-2,0
202,Mark Hominick,1325.1818309284943,2044.9968020675312,-4,3
2,Mark Hughes,1736.1119303476282,1736.1119303476282,1,1
577,Mark Hunt,1808.9765076647573,2021.4438567586162,-3,4
1788,Mark Madsen,1776.4730598027108,1956.766149464329,-2,4
470,Mark Munoz,1868.7764252198353,2042.8773251556388,1,4
587,Mark Scanlon,1360.3599892988498,1360.3599892988498,-1,0
1919,Mark Striegl,1342.8786373892788,1394.413886726189,-2,0
81,Mark Weir,1436.0659520753397,1725.4663927679092,-2,1
1560,Markus Perez,1285.137384781293,1562.6975841252297,-3,1
1472,Marlon Moraes,1892.08254567412,2262.987760468886,-4,4
1185,Marlon Vera,2024.0173053617445,2115.1771718577174,-2,5
2242,Marnic Mann,1251.584487407745,1360.3599892988498,-2,0
1413,Martin Bravo,1248.6042708305697,1736.1119303476282,-3,1
2073,Martin Buday,1747.7545708151813,1835.7481976093477,2,4
1658,Martin Day,1173.7133365898576,1516.985994577598,-4,0
244,Martin Kampmann,1919.0479040167281,2032.6070968783174,-2,4
2018,Martin Sano,1371.4526389909204,1371.4526389909204,-1,0
1344,Martin Svensson,1360.3599892988498,1360.3599892988498,-1,0
105,Marvin Eastman,1340.9521711182422,1441.531847792884,-1,1
1389,Marvin Vettori,1958.033817559439,2098.464920798161,-2,5
1236,Maryna Moroz,1555.0871810971464,1771.4183816245666,-3,3
1155,Masanori Kanehara,1643.0628655403866,1839.312430321515,-2,1
1228,Masio Fullen,1338.9350094145443,1594.444770466196,-2,1
1949,Mason Jones,1615.421056344467,1615.421056344467,1,1
2136,Mateus Mendonca,1326.5724497610902,1431.9519404052173,-3,0
1918,Mateusz Gamrot,2160.4726367684943,2183.50755795334,1,4
2135,Mateusz Rebecki,1942.315042530372,1965.8632086290695,1,3
2403,Matheus Camilo,1290.3172731435504,1290.3172731435504,-1,0
1299,Matheus Nicolau,1693.794911017115,1979.6502862860902,-3,4
